City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,Nemuro,43.3236,145.575,68.88,95,100,29.44,JP,2022-08-16 01:01:39
422,Lagoa,39.05,-27.9833,71.62,69,100,18.23,PT,2022-08-16 01:01:40
423,Urubicha,-15.3833,-62.95,78.24,46,26,2.84,BO,2022-08-16 01:01:40
424,Barguzin,53.6167,109.6167,59.99,80,99,7.81,RU,2022-08-16 01:01:40
425,Sao Joao Da Barra,-21.6403,-41.0511,71.64,73,0,26.17,BR,2022-08-16 01:00:41
426,Shurugwi,-19.6702,30.0059,47.73,57,0,5.7,ZW,2022-08-16 01:01:41
427,Biltine,14.5333,20.9167,74.5,83,100,10.0,TD,2022-08-16 01:01:41
428,Dukat,62.55,155.55,49.44,93,100,13.4,RU,2022-08-16 01:01:42
429,Nabire,-3.3667,135.4833,82.87,68,100,2.77,ID,2022-08-16 01:01:42
430,Arlit,18.7369,7.3853,88.86,40,9,11.01,NE,2022-08-16 01:01:43
431,Finschhafen,-6.6024,147.8681,83.32,71,24,1.05,PG,2022-08-16 01:01:43
432,Iwanai,42.9744,140.5089,72.84,99,100,1.25,JP,2022-08-16 01:01:43
433,Bayir,37.2687,28.2167,63.12,63,0,3.4,TR,2022-08-16 01:01:44
434,Atasu,48.6814,71.6433,56.32,52,0,9.64,KZ,2022-08-16 01:01:44
435,Monrovia,6.3005,-10.7969,76.77,87,100,16.22,LR,2022-08-16 01:00:12
436,Lasa,46.6166,10.7002,56.7,88,56,0.6,IT,2022-08-16 01:01:45
437,Kandrian,-6.2167,149.55,83.55,71,16,3.47,PG,2022-08-16 01:01:45
438,Northam,51.0333,-4.2167,62.62,93,96,1.61,GB,2022-08-16 01:01:46
439,Gisborne,-38.6533,178.0042,62.65,60,100,4.9,NZ,2022-08-16 01:01:46
440,Tambacounda,13.7539,-13.7586,72.72,85,20,1.52,SN,2022-08-16 01:01:46
441,Canto Do Buriti,-8.11,-42.9444,73.87,60,0,6.49,BR,2022-08-16 01:01:47
442,York,40.1254,-77.0,71.37,79,100,3.42,US,2022-08-16 00:58:51
443,Cabedelo,-6.9811,-34.8339,74.5,70,8,13.8,BR,2022-08-16 01:01:47
444,Mahajanga,-15.7167,46.3167,68.14,72,1,7.16,MG,2022-08-16 01:01:48
445,Paita,-5.0892,-81.1144,64.09,83,16,17.09,PE,2022-08-16 01:01:48
446,Qax,41.4225,46.9242,73.98,39,0,5.46,AZ,2022-08-16 01:01:49
