City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Tiruttani,IN,81.28,overcast clouds,13.177,79.6128,Karthikeyan Cottages
142,Pervomayskaya,RU,73.2,clear sky,43.4033,45.5261,Sotyy
144,Ribeira Grande,PT,72.37,clear sky,38.5167,-28.7,Quinta da Meia Eira
146,Ipu,BR,81.7,scattered clouds,-4.3222,-40.7108,Our hostel Corner
151,Kashi,CN,76.21,broken clouds,39.4547,75.9797,帕米尔青年旅舍
154,Ramat Yishay,IL,76.12,clear sky,32.7006,35.1797,Zimmer & Spa Kesem Hamaga
156,Fortuna,US,72.09,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
159,Dwarka,IN,80.53,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
161,Tutoia,BR,79.03,broken clouds,-2.7619,-42.2744,Pousada Guará's
162,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
163,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
165,Vila Real,PT,74.75,clear sky,41.3006,-7.7441,Hotel Mira Corgo
166,Neftcala,AZ,78.66,clear sky,39.3742,49.2472,Otel restoran
168,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
171,Mount Pleasant,US,82.54,thunderstorm,32.7941,-79.8626,Best Western Patriots Point
172,Haapiti,PF,82.13,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
173,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
178,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
180,Aksu,CN,72.37,clear sky,41.1231,80.2644,Pudong Holiday Hotel
181,Broome,US,80.37,scattered clouds,42.2506,-75.833,Chenango Valley State Park
183,Nagato,JP,83.62,overcast clouds,34.3833,131.2,いそう庵
187,Laguna De Perlas,NI,84.29,overcast clouds,12.3429,-83.6712,Hotel Best View
190,Biled,RO,82.58,overcast clouds,45.8864,20.9589,Hotel Angelis
191,Tongren,CN,81.14,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
197,Trat,TH,83.88,broken clouds,12.5,102.5,สวนหนิง-อัศ
200,Yenagoa,NG,73.76,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
203,Redmond,US,87.06,broken clouds,47.674,-122.1215,Seattle Marriott Redmond
206,Oussouye,SN,78.89,overcast clouds,12.485,-16.5469,Auberge du Routard
210,Yarada,IN,82.94,light rain,17.65,83.2667,Yarada Jungle Beach Resorts
211,Belmonte,BR,71.85,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
220,Pacific Grove,US,83.25,broken clouds,36.6177,-121.9166,Lovers Point Inn
221,San Cristobal,VE,80.78,clear sky,7.7669,-72.225,Pirineos
222,Carupano,VE,80.2,scattered clouds,10.6678,-63.2585,Hotel La dorada
224,Yinchuan,CN,72.16,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
226,Jipijapa,EC,74.7,broken clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
229,Marquette,US,70.41,broken clouds,46.5333,-87.6335,Al Quaal Lodge
231,Wagar,SD,80.22,overcast clouds,16.1525,36.2032,
233,Port Hawkesbury,CA,72.79,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
234,Hithadhoo,MV,80.6,overcast clouds,-0.6,73.0833,Scoop Guest House
235,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
239,Carauari,BR,74.97,moderate rain,-4.8828,-66.8958,Hotel Fellip
242,Bairiki,KI,80.38,clear sky,1.3292,172.9752,Tarawa Boutique Hotel
243,Sao Jose Da Coroa Grande,BR,73.0,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
244,Lucea,JM,85.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
245,Bissau,GW,77.11,thunderstorm with light rain,11.8636,-15.5977,Hotel Ancar
246,Hobyo,SO,76.32,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
248,Caibarien,CU,87.12,clear sky,22.5206,-79.4669,La Nena
250,Along,IN,74.5,overcast clouds,28.1667,94.7667,Hotel West
251,Katsuura,JP,77.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
252,Iranshahr,IR,89.33,broken clouds,27.2025,60.6848,نیک سرشت
254,Yatou,CN,73.4,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
256,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
260,Coruripe,BR,71.55,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
264,Half Moon Bay,US,89.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
265,Gushikawa,JP,85.23,clear sky,26.3544,127.8686,Kirari Guest House
266,Golden,US,82.36,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
268,Gigmoto,PH,81.27,overcast clouds,13.7796,124.39,Cj's Travellers Inn
269,Napoleon,US,84.24,broken clouds,41.3923,-84.1252,Holiday Inn & Suites
270,Lorengau,PG,81.84,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
271,Kilindoni,TZ,74.75,clear sky,-7.9139,39.6668,Bustani B&B
272,Sabang,ID,83.01,overcast clouds,5.8933,95.3214,Hotel Citra
274,Sao Geraldo Do Araguaia,BR,84.58,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
