City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Causapscal,CA,48.3542,-67.227,65.97,83,51,4.36,broken clouds
79,Barrow,US,71.2906,-156.7887,37.42,93,100,8.05,overcast clouds
80,Rawson,AR,-43.3002,-65.1023,57.97,51,98,7.43,overcast clouds
81,Chuy,UY,-33.6971,-53.4616,45.01,67,2,5.53,clear sky
82,East London,ZA,-33.0153,27.9116,57.33,71,8,14.47,clear sky
83,Lasa,IT,46.6166,10.7002,61.68,95,94,6.26,overcast clouds
84,Teeli,RU,51.0333,90.2333,37.17,79,81,3.36,broken clouds
85,Praia,CV,14.9215,-23.5087,79.34,78,75,14.97,broken clouds
86,Yantzaza,EC,-3.8278,-78.7594,70.52,96,98,2.17,moderate rain
87,Hami,CN,42.8,93.45,74.86,21,0,10.65,clear sky
88,Fare,PF,-16.7,-151.0167,79.0,69,98,13.49,overcast clouds
89,Jumla,NP,29.2747,82.1838,61.45,94,100,3.76,overcast clouds
90,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,9.22,broken clouds
91,Cascais,PT,38.6979,-9.4215,81.75,62,0,13.65,clear sky
92,Lagoa,PT,39.05,-27.9833,71.19,71,3,1.66,clear sky
93,Sitka,US,57.0531,-135.33,62.49,72,75,8.05,broken clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,80.56,93,92,8.99,overcast clouds
95,Chifeng,CN,42.2683,118.9636,64.22,57,0,3.8,clear sky
96,Cidreira,BR,-30.1811,-50.2056,48.04,66,6,4.76,clear sky
97,Luderitz,NA,-26.6481,15.1594,57.15,66,0,15.73,clear sky
98,Neiafu,TO,-18.65,-173.9833,77.68,69,40,10.36,scattered clouds
99,Saint George,US,37.1041,-113.5841,92.25,34,75,23.02,broken clouds
100,Jamestown,US,42.097,-79.2353,80.94,29,0,0.0,clear sky
101,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,20,2.19,few clouds
102,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,100,75,8.95,broken clouds
103,Namibe,AO,-15.1961,12.1522,60.42,79,5,9.82,clear sky
104,Ewa Beach,US,21.3156,-158.0072,89.55,48,75,19.57,broken clouds
105,Buala,SB,-8.145,159.5921,82.76,75,31,11.34,light rain
106,Saskylakh,RU,71.9167,114.0833,38.97,73,100,9.24,overcast clouds
107,Esperance,AU,-33.8667,121.9,57.38,77,90,5.3,overcast clouds
108,Pudozh,RU,61.8099,36.5345,60.46,62,100,4.74,overcast clouds
109,Acapulco,MX,16.8634,-99.8901,87.62,58,75,5.75,broken clouds
110,Sabha,LY,27.0377,14.4283,87.49,20,0,10.58,clear sky
111,Oranjemund,NA,-28.55,16.4333,52.77,80,0,9.75,clear sky
112,Leningradskiy,RU,69.3833,178.4167,41.67,68,8,15.08,clear sky
113,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.25,34,11,1.43,few clouds
114,Husavik,IS,66.0449,-17.3389,48.47,99,100,13.18,overcast clouds
115,Businga,CD,3.3333,20.8833,67.08,99,86,1.9,light rain
116,Qaanaaq,GL,77.484,-69.3632,36.39,74,64,1.16,broken clouds
117,Carnarvon,AU,-24.8667,113.6333,63.3,35,32,15.26,scattered clouds
118,Ahipara,NZ,-35.1667,173.1667,62.29,93,99,14.9,overcast clouds
119,Buraydah,SA,26.326,43.975,90.05,14,14,4.72,few clouds
120,Dunedin,NZ,-45.8742,170.5036,52.65,79,57,3.38,broken clouds
121,Yumen,CN,40.2833,97.2,70.77,28,67,2.08,broken clouds
122,Airai,TL,-8.9266,125.4092,56.98,49,29,3.71,scattered clouds
123,San Policarpo,PH,12.1791,125.5072,78.6,89,100,4.97,overcast clouds
124,Nouadhibou,MR,20.931,-17.0347,73.38,83,60,9.22,broken clouds
125,Jaisalmer,IN,26.9147,70.9181,78.64,85,94,15.99,overcast clouds
126,Dikson,RU,73.5069,80.5464,40.03,88,100,25.84,overcast clouds
127,Mangai,CD,-4.05,19.5333,74.26,59,25,1.99,scattered clouds
128,Rio Bananal,BR,-19.265,-40.3333,69.15,81,40,12.95,scattered clouds
129,Kurchum,KZ,48.5722,83.6542,45.48,74,5,6.73,clear sky
130,Arroyo Grande,US,35.1186,-120.5907,85.05,53,0,19.57,clear sky
131,Bethel,US,41.3712,-73.414,86.65,51,74,1.99,broken clouds
132,Alice Springs,AU,-23.7,133.8833,35.15,69,1,4.61,clear sky
133,Iqaluit,CA,63.7506,-68.5145,47.93,71,75,4.61,broken clouds
134,Tamandare,BR,-8.7597,-35.1047,72.84,74,5,9.62,clear sky
135,Pisco,PE,-13.7,-76.2167,62.02,82,40,8.05,scattered clouds
136,Caravelas,BR,-17.7125,-39.2481,71.51,77,0,6.26,clear sky
137,Cabo San Lucas,MX,22.8909,-109.9124,89.62,62,40,11.5,scattered clouds
138,Apache Junction,US,33.4151,-111.5496,95.23,43,75,6.91,broken clouds
139,New Norfolk,AU,-42.7826,147.0587,45.9,79,17,1.99,few clouds
140,Tiksi,RU,71.6872,128.8694,42.57,91,100,10.22,overcast clouds
141,Tiruttani,IN,13.177,79.6128,81.28,61,100,6.82,overcast clouds
142,Pervomayskaya,RU,43.4033,45.5261,73.2,83,0,4.47,clear sky
143,Kainantu,PG,-6.2887,145.8655,65.39,85,85,3.02,overcast clouds
144,Ribeira Grande,PT,38.5167,-28.7,72.37,70,7,5.08,clear sky
145,Sistranda,NO,63.7256,8.834,55.36,83,57,2.37,broken clouds
146,Ipu,BR,-4.3222,-40.7108,81.7,40,40,3.31,scattered clouds
147,Jijiga,ET,9.35,42.8,65.95,62,8,15.48,clear sky
148,Mananara,MG,-16.1667,49.7667,66.6,92,13,1.43,light rain
149,Tasiilaq,GL,65.6145,-37.6368,44.76,71,6,1.36,clear sky
150,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,75,14.97,broken clouds
151,Kashi,CN,39.4547,75.9797,76.21,60,75,6.71,broken clouds
152,Ancud,CL,-41.8697,-73.8203,48.36,95,100,5.06,overcast clouds
153,Roald,NO,62.5833,6.1333,59.9,94,75,6.91,broken clouds
154,Ramat Yishay,IL,32.7006,35.1797,76.12,80,0,1.97,clear sky
155,Pevek,RU,69.7008,170.3133,44.85,63,0,8.21,clear sky
156,Fortuna,US,40.5982,-124.1573,72.09,76,35,13.8,scattered clouds
157,Andenes,NO,69.3143,16.1194,58.98,88,100,5.75,overcast clouds
158,San Patricio,US,28.017,-97.5169,92.17,57,97,14.94,overcast clouds
159,Dwarka,IN,22.2394,68.9678,80.53,84,100,18.12,overcast clouds
160,Bibai,JP,43.3247,141.8586,69.37,84,100,7.63,light rain
161,Tutoia,BR,-2.7619,-42.2744,79.03,79,68,10.85,broken clouds
162,Victoria,HK,22.2855,114.1577,82.45,89,93,11.01,overcast clouds
163,Salalah,OM,17.0151,54.0924,75.29,100,100,3.44,light intensity drizzle
164,Verkhnyaya Inta,RU,65.9811,60.3094,43.99,85,77,3.76,broken clouds
165,Vila Real,PT,41.3006,-7.7441,74.75,37,0,2.77,clear sky
166,Neftcala,AZ,39.3742,49.2472,78.66,62,0,6.67,clear sky
167,Libertador General San Martin,AR,-23.8064,-64.7876,56.97,34,0,4.29,clear sky
168,Paka,MY,4.6374,103.4368,76.98,94,97,0.0,overcast clouds
169,Uvalde,US,29.3669,-99.767,95.14,27,0,12.66,clear sky
170,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,56.86,46,1,5.37,clear sky
171,Mount Pleasant,US,32.7941,-79.8626,82.54,87,100,5.75,thunderstorm
172,Haapiti,PF,-17.5667,-149.8667,82.13,69,97,12.33,overcast clouds
173,Kathu,TH,7.9178,98.3332,85.69,85,96,9.15,overcast clouds
174,Adrar,MR,20.5022,-10.0711,92.48,38,3,7.81,clear sky
175,Provideniya,RU,64.3833,-173.3,45.21,84,100,11.12,overcast clouds
176,Vanavara,RU,60.34,102.2797,45.43,89,99,3.69,overcast clouds
177,Shitanjing,CN,39.2342,106.3439,67.41,55,0,5.75,clear sky
178,Oistins,BB,13.0667,-59.5333,82.49,83,20,16.11,few clouds
179,Pirovskoye,RU,57.6267,92.2658,46.15,98,69,3.49,broken clouds
180,Aksu,CN,41.1231,80.2644,72.37,55,0,1.72,clear sky
181,Broome,US,42.2506,-75.833,80.37,46,34,2.37,scattered clouds
182,Novikovo,RU,51.1537,37.8879,66.51,60,93,17.38,overcast clouds
183,Nagato,JP,34.3833,131.2,83.62,83,100,15.32,overcast clouds
184,Upernavik,GL,72.7868,-56.1549,38.23,84,100,5.59,overcast clouds
